kid	pa	ma	pair
1	T056187_2008	T028356_2006	T028277_2006	T028356_2006--T028277_2006
2	T055692_2008	T028408_2006	T028426_2006	T028408_2006--T028426_2006
3	T055255_2008	T028217_2006	T028309_2006	T028217_2006--T028309_2006
4	T056383_2009	T028726_2006	T028771_2006	T028726_2006--T028771_2006
5	T056390_2009	T028215_2006	T028229_2006	T028215_2006--T028229_2006
6	T056393_2009	T028904_2006	T028928_2006	T028904_2006--T028928_2006
7	T056397_2009	T028623_2006	T028599_2006	T028623_2006--T028599_2006
8	T056399_2009	T028452_2006	T028499_2006	T028452_2006--T028499_2006
9	T056404_2009	T028513_2006	T028588_2006	T028513_2006--T028588_2006
10	T056406_2009	T027555_2006	T027542_2006	T027555_2006--T027542_2006
11	T056407_2009	T028548_2006	T028578_2006	T028548_2006--T028578_2006
12	T056408_2009	T028233_2006	T028292_2006	T028233_2006--T028292_2006
13	T056409_2009	T028321_2006	T028368_2006	T028321_2006--T028368_2006
14	T056412_2009	T028445_2006	T028491_2006	T028445_2006--T028491_2006
15	T056415_2009	T029080_2006	T028996_2006	T029080_2006--T028996_2006
16	T056416_2009	T028216_2006	T028176_2006	T028216_2006--T028176_2006
17	T056417_2009	T027674_2006	T028318_2006	T027674_2006--T028318_2006
18	T056421_2009	T027502_2006	T027534_2006	T027502_2006--T027534_2006
19	T056423_2009	T028233_2006	T028292_2006	T028233_2006--T028292_2006
20	T056425_2009	T027608_2006	T027666_2006	T027608_2006--T027666_2006
21	T056427_2009	T028249_2006	T028258_2006	T028249_2006--T028258_2006
22	T056428_2009	T028437_2006	T028488_2006	T028437_2006--T028488_2006
23	T056430_2009	T028402_2006	T028434_2006	T028402_2006--T028434_2006
24	T056431_2009	T028775_2006	T028684_2006	T028775_2006--T028684_2006
25	T056433_2009	T027626_2006	T027657_2006	T027626_2006--T027657_2006
26	T056434_2009	T028732_2006	T028767_2006	T028732_2006--T028767_2006
27	T056437_2009	T027548_2006	T027536_2006	T027548_2006--T027536_2006
28	T056440_2009	T028705_2006	T028671_2006	T028705_2006--T028671_2006
29	T056441_2009	T028450_2006	T028497_2006	T028450_2006--T028497_2006
30	T056443_2009	T028909_2006	T028934_2006	T028909_2006--T028934_2006
31	T056444_2009	T028402_2006	T028434_2006	T028402_2006--T028434_2006
32	T056446_2009	T028294_2006	T028281_2006	T028294_2006--T028281_2006
33	T056447_2009	T028331_2006	T028391_2006	T028331_2006--T028391_2006
34	T056448_2009	T028913_2006	T028914_2006	T028913_2006--T028914_2006
35	T056449_2009	T028539_2006	T028571_2006	T028539_2006--T028571_2006
36	T056452_2009	T028538_2006	T028612_2006	T028538_2006--T028612_2006
37	T056454_2009	T028774_2006	T028683_2006	T028774_2006--T028683_2006
38	T056455_2009	T028343_2006	T028377_2006	T028343_2006--T028377_2006
39	T056456_2009	T028446_2006	T028492_2006	T028446_2006--T028492_2006
40	T056457_2009	T028693_2006	T028674_2006	T028693_2006--T028674_2006
41	T056509_2009	T027609_2006	T027647_2006	T027609_2006--T027647_2006
42	T056513_2009	T027507_2006	T027532_2006	T027507_2006--T027532_2006
43	T056514_2009	T027610_2006	T027645_2006	T027610_2006--T027645_2006
44	T056515_2009	T027600_2006	T027524_2006	T027600_2006--T027524_2006
45	T056516_2009	T028539_2006	T028571_2006	T028539_2006--T028571_2006
46	T056519_2009	T028744_2006	T028760_2006	T028744_2006--T028760_2006
47	T056521_2009	T028676_2006	T028597_2006	T028676_2006--T028597_2006
48	T056522_2009	T028553_2006	T028586_2006	T028553_2006--T028586_2006
49	T056524_2009	T028730_2006	T028682_2006	T028730_2006--T028682_2006
50	T056526_2009	T028235_2006	T028247_2006	T028235_2006--T028247_2006
51	T056529_2009	T028214_2006	T028228_2006	T028214_2006--T028228_2006
52	T056530_2009	T028617_2006	T028692_2006	T028617_2006--T028692_2006
53	T056531_2009	T028843_2006	T028854_2006	T028843_2006--T028854_2006
54	T056532_2009	T028688_2006	T028593_2006	T028688_2006--T028593_2006
55	T056533_2009	T028529_2006	T028481_2006	T028529_2006--T028481_2006
56	T056534_2009	T028164_2006	T027630_2006	T028164_2006--T027630_2006
57	T056535_2009	T028333_2006	T028362_2006	T028333_2006--T028362_2006
58	T056537_2009	T028623_2006	T028599_2006	T028623_2006--T028599_2006
59	T056539_2009	T028348_2006	T028393_2006	T028348_2006--T028393_2006
60	T056541_2009	T028629_2006	T028614_2006	T028629_2006--T028614_2006
61	T056545_2009	T028553_2006	T028586_2006	T028553_2006--T028586_2006
62	T056546_2009	T028466_2006	T028504_2006	T028466_2006--T028504_2006
63	T056548_2009	T028551_2006	T028582_2006	T028551_2006--T028582_2006
64	T056550_2009	T028905_2006	T028919_2006	T028905_2006--T028919_2006
65	T059789_2009	T028340_2006	T028365_2006	T028340_2006--T028365_2006
66	T056464_2009	T028161_2006	T027629_2006	T028161_2006--T027629_2006
67	T056468_2009	T028445_2006	T028491_2006	T028445_2006--T028491_2006
68	T056476_2009	T029847_2007	T029934_2007	T029847_2007--T029934_2007
69	T056482_2009	T028408_2006	T028436_2006	T028408_2006--T028436_2006
70	T056486_2009	T027600_2006	T027524_2006	T027600_2006--T027524_2006
71	T056490_2009	T027610_2006	T027645_2006	T027610_2006--T027645_2006
72	T056493_2009	T028408_2006	T028426_2006	T028408_2006--T028426_2006
73	T056495_2009	T028843_2006	T028854_2006	T028843_2006--T028854_2006
74	T056496_2009	T028450_2006	T028497_2006	T028450_2006--T028497_2006
75	T056500_2009	T028231_2006	T028243_2006	T028231_2006--T028243_2006
76	T056504_2009	T028533_2006	T028565_2006	T028533_2006--T028565_2006
77	T056506_2009	T028304_2006	T028223_2006	T028304_2006--T028223_2006
78	T056557_2009	T028902_2006	T028923_2006	T028902_2006--T028923_2006
79	T056559_2009	T028775_2006	T028684_2006	T028775_2006--T028684_2006
80	T056563_2009	T028796_2006	T028648_2006	T028796_2006--T028648_2006
81	T056564_2009	T028804_2006	T028835_2006	T028804_2006--T028835_2006
82	T056566_2009	T028617_2006	T028692_2006	T028617_2006--T028692_2006
83	T056570_2009	T028772_2006	T028769_2006	T028772_2006--T028769_2006
84	T056572_2009	T028457_2006	T028505_2006	T028457_2006--T028505_2006
85	T056573_2009	T028775_2006	T028684_2006	T028775_2006--T028684_2006
86	T056574_2009	T028677_2006	T028560_2006	T028677_2006--T028560_2006
87	T056579_2009	T028265_2006	T028286_2006	T028265_2006--T028286_2006
88	T056581_2009	T028990_2006	T029021_2006	T028990_2006--T029021_2006
89	T056582_2009	T028913_2006	T028914_2006	T028913_2006--T028914_2006
90	T056584_2009	T028349_2006	T028388_2006	T028349_2006--T028388_2006
91	T056585_2009	T028548_2006	T028578_2006	T028548_2006--T028578_2006
92	T056586_2009	T028513_2006	T028588_2006	T028513_2006--T028588_2006
93	T056587_2009	T027610_2006	T027645_2006	T027610_2006--T027645_2006
94	T056594_2009	T028321_2006	T028368_2006	T028321_2006--T028368_2006
95	T056596_2009	T028913_2006	T028914_2006	T028913_2006--T028914_2006
96	T056603_2009	T028304_2006	T028223_2006	T028304_2006--T028223_2006
97	T056606_2009	T028558_2006	T028585_2006	T028558_2006--T028585_2006
98	T056608_2009	T028203_2006	T028181_2006	T028203_2006--T028181_2006
99	T056609_2009	T028297_2006	T028242_2006	T028297_2006--T028242_2006
100	T056611_2009	T028668_2006	T028658_2006	T028668_2006--T028658_2006
101	T056614_2009	T028873_2006	T028878_2006	T028873_2006--T028878_2006
102	T056616_2009	T028539_2006	T028571_2006	T028539_2006--T028571_2006
103	T056617_2009	T028236_2006	T028248_2006	T028236_2006--T028248_2006
104	T056619_2009	T027587_2006	T027562_2006	T027587_2006--T027562_2006
105	T056620_2009	T028553_2006	T028586_2006	T028553_2006--T028586_2006
106	T056621_2009	T030265_2007	T030399_2007	T030265_2007--T030399_2007
107	T056624_2009	T028408_2006	T028426_2006	T028408_2006--T028426_2006
