Summary of steelhead broodstock returning in 2012 and 2013 from parents spawned in 2009.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hatchery,Dworshak,Pahsimeroi,Sawtooth,Oxbow,Lyon's Ferry,Little Sheep,Cottonwood - Grande Ronde,Tucannon,"Pahsimeroi, Upper Salmon","Sawtooth, EF Salmon",Wallowa,Totals,,
Total Spawners,1873,1279,979,592,215,133,95,25,48,112,459,5810,,
Effective Spawners,800,544,389,238,76,88,86,11,43,29,268,2572,,
NumOffspring,1516,1481,739,400,80,123,231,10,303,26,486,5395,,
PWOP Ne,573.3,352.8,315.0,199.8,58.1,73.3,68.2,19.0,24.8,23.3,198.7,,,
0,1073,735,590,354,139,45,9,14,5,83,191,3238,,
1,331,177,132,106,43,40,36,3,12,18,114,1012,,
2,178,95,85,52,17,19,14,7,10,4,51,532,,
3,106,77,69,40,9,11,6,1,4,4,40,367,,
4,72,42,41,12,4,5,10,0,2,1,30,219,,
5,33,27,27,10,0,5,6,0,4,1,11,124,,
6,24,34,15,11,0,4,2,0,1,1,11,103,,
7,16,23,8,7,1,3,4,0,1,0,1,64,,
8,13,9,2,0,0,1,2,0,0,0,4,31,,
9,6,17,2,0,2,0,2,0,2,0,0,31,,
10,5,19,4,0,0,0,2,0,0,0,0,30,,
11,3,5,4,0,0,0,2,0,0,0,0,14,,
12,6,6,0,0,0,0,0,0,2,0,1,15,,
13,2,3,0,0,0,0,0,0,2,0,0,7,,
14,3,6,0,0,0,0,0,0,0,0,1,10,,
15,0,0,0,0,0,0,0,0,1,0,0,1,,
16,1,0,0,0,0,0,0,0,1,0,3,5,,
17,0,1,0,0,0,0,0,0,0,0,0,1,,
18,1,1,0,0,0,0,0,0,0,0,1,3,,
19,0,0,0,0,0,0,0,0,0,0,0,0,,
20,0,0,0,0,0,0,0,0,0,0,0,0,,
21,0,0,0,0,0,0,0,0,0,0,0,0,,
22,0,0,0,0,0,0,0,0,1,0,0,1,,
23,0,0,0,0,0,0,0,0,0,0,0,0,,
24,0,0,0,0,0,0,0,0,0,0,0,0,,
25,0,0,0,0,0,0,0,0,0,0,0,0,,
26,0,1,0,0,0,0,0,0,0,0,0,1,,
27,0,0,0,0,0,0,0,0,0,0,0,0,,
28,0,0,0,0,0,0,0,0,0,0,0,0,,
29,0,1,0,0,0,0,0,0,0,0,0,1,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
