Code,Mark
0000,No Adclip + No other external marks
0009,No Adclip + Unknown or unspecified other marks
5000,Adclip + No other external marks
5009,Adclip + Unknown or unspecified other marks
9000,Adipose Clip Unknown + No other external marks
9009,Adipose Clip Unknown + Totally Unknown other external marks
9205,Adipose Clip Unknown + Elastomer Injection Left Eye Red
0001,No Adclip + Left Ventral
0002,No Adclip + Right Ventral
0050,No Adclip + Left Ventral Right Ventral
0051,No Adclip + Left Ventral Left Pectoral
0052,No Adclip + Left Ventral Right Pectoral
0053,No Adclip + Left Ventral Left Maxillary
0054,No Adclip + Left Ventral Right Ventral Left Maxillary
0055,No Adclip + Left Ventral Right Ventral Right Maxillary
0056,No Adclip + Left Ventral Right Maxillary
0057,No Adclip + Left Ventral Dorsal
0058,No Adclip + Left Ventral Anal
0059,No Adclip + Left Ventral Caudal
0060,No Adclip + Left Ventral Freeze Brand
0061,No Adclip + Left Ventral + Elastomer Injection Left Eye
0070,No Adclip + Right Ventral Left Pectoral
0071,No Adclip + Right Ventral Right Pectoral
0072,No Adclip + Right Ventral Left Maxillary
0073,No Adclip + Right Ventral Right Maxillary
0074,No Adclip + Right Ventral Dorsal
0075,No Adclip + Right Ventral Anal
0076,No Adclip + Right Ventral Caudal
0077,No Adclip + Right Ventral Freeze Brand
0090,No Adclip + Left Pectoral
0091,No Adclip + Left Pectoral Left Maxillary
0092,No Adclip + Left Pectoral Right Maxillary
0093,No Adclip + Left Pectoral Right Maxillary Anal
0094,No Adclip + Left Pectoral Dorsal
0095,No Adclip + Left Pectoral Anal
0100,No Adclip + Right Pectoral
0101,No Adclip + Right Pectoral Left Maxillary
0102,No Adclip + Right Pectoral Right Maxillary
0103,No Adclip + Right Pectoral Right Maxillary Anal
0104,No Adclip + Right Pectoral Dorsal
0105,No Adclip + Right Pectoral Anal
0110,No Adclip + Left Maxillary
0111,No Adclip + Left Maxillary Right Maxillary
0112,No Adclip + Left Maxillary Dorsal
0113,No Adclip + Left Maxillary Anal
0120,No Adclip + Right Maxillary
0121,No Adclip + Right Maxillary Dorsal
0122,No Adclip + Right Maxillary Anal
0130,No Adclip + Dorsal
0132,No Adclip + Dorsal + Elastomer Injection Right Eye Green
0140,No Adclip + Anal
0150,No Adclip + Caudal
0151,No Adclip + Caudal + Elastomer Injection Left Eye Red
0152,No Adclip + Caudal + Elastomer Injection Right Eye Red
0190,No Adclip + Jet
0200,No Adclip + Visual Implant Alpha-numeric
0201,No Adclip + Visual Implant Elastomer Injection
0202,No Adclip + Visual Implant Fluorescent Filament
0203,No Adclip + Elastomer Injection Left Eye Blue
0204,No Adclip + Elastomer Injection Right Eye Blue
0205,No Adclip + Elastomer Injection Left Eye Red
0206,No Adclip + Elastomer Injection Right Eye Red
0207,No Adclip + Elastomer Injection Left Eye Green
0208,No Adclip + Elastomer Injection Right Eye Green
0209,No Adclip + Elastomer Injection Left Eye Orange
0210,No Adclip + Elastomer Injection Right Eye Orange
0211,No Adclip + Jet Left Ventral
0212,No Adclip + Jet Left Pectoral
0213,No Adclip + Jet Anal
0214,No Adclip + Elastomer Injection Left Eye Yellow
0215,No Adclip + Elastomer Injection Right Eye Yellow
0216,No Adclip + Elastomer Injection Left Jaw Green
0218,No Adclip + Elastomer Injection Left Eye Pink
0219,No Adclip + Elastomer Injection Right Eye Pink
0300,No Adclip + Freeze Brand
0350,No Adclip + PIT Tag
0400,No Adclip + Floy Tag
0500,No Adclip + Otolith
0501,No Adclip + Otolith + Left Ventral
0502,No Adclip + Otolith + Right Ventral
0520,No Adclip + Otolith + Right Maxillary
0600,No Adclip + Wire Tag in Area Other Than Snout
5001,Adclip + Left Ventral
5002,Adclip + Right Ventral
5050,Adclip + Left Ventral Right Ventral
5051,Adclip + Left Ventral Left Pectoral
5052,Adclip + Left Ventral Right Pectoral
5053,Adclip + Left Ventral Left Maxillary
